# ASSET=0050.TW,NAME=元大台50 TR,LEV2=2x 元大台50 TR,LEV3=3x 元大台50 TR
Date,Asset_Close,NDX_DailyReturn,RF_Annual_Pct,RF_Daily_Pct,NDX2L_DailyReturn,NDX3L_DailyReturn,NDX2L_Adj_DailyReturn,NDX3L_Adj_DailyReturn,NDX_Indexed,NDX2L,NDX3L,NDX2L_adj,NDX3L_adj
2009-01-05,5.6815,11.3173,1.3533,0.00537,22.6346,33.9519,22.6175,33.9218,111.317301,122.634602,133.951902,122.617525,133.921797
2009-01-06,5.6784,-0.0546,1.3499,0.005357,-0.1093,-0.1639,-0.1263,-0.194,111.256477,122.500587,133.73233,122.462607,133.661991
2009-01-07,5.0014,-11.9224,1.3466,0.005344,-23.8447,-35.7671,-23.8618,-35.7971,97.99209,93.290687,85.900217,93.240883,85.814868
2009-01-08,4.6831,-6.3645,1.3433,0.00533,-12.729,-19.0935,-12.746,-19.1235,91.755397,81.415743,69.498896,81.356393,69.404077
2009-01-09,5.003,6.8302,1.3399,0.005317,13.6605,20.4907,13.6434,20.4607,98.022506,92.537515,83.739709,92.456208,83.604639
2009-01-12,5.3089,6.1142,1.3299,0.005277,12.2285,18.3427,12.2115,18.3128,104.01583,103.853433,99.09983,103.746481,98.914971
2009-01-13,5.0713,-4.475,1.3265,0.005264,-8.95,-13.425,-8.967,-13.4549,99.361107,94.558521,85.795636,94.443535,85.606025
2009-01-14,5.3989,6.4605,1.3232,0.005251,12.921,19.3815,12.9041,19.3517,105.780344,106.776452,102.42415,106.630594,102.172222
2009-01-15,4.8135,-10.8427,1.3199,0.005238,-21.6854,-32.528,-21.7023,-32.5579,94.310924,83.621602,69.107594,83.489307,68.907125
2009-01-16,4.6582,-3.2258,1.3165,0.005224,-6.4516,-9.6774,-6.4686,-9.7072,91.268633,78.226654,62.419755,78.088759,62.218142
2009-01-19,5.2374,12.4333,1.3065,0.005184,24.8666,37.2999,24.8497,37.2702,102.61635,97.678988,85.70229,97.493612,85.406976
2009-01-20,5.0992,-2.6386,1.3032,0.005171,-5.2772,-7.9157,-5.294,-7.9455,99.908732,92.524305,78.918312,92.332258,78.621002
2009-01-21,4.7359,-7.1254,1.2998,0.005158,-14.2509,-21.3763,-14.2678,-21.406,92.789788,79.338763,62.048462,79.158513,61.791371
2009-02-02,5.1303,8.3279,1.2597,0.004999,16.6557,24.9836,16.639,24.9542,100.51719,92.553204,77.550388,92.329708,77.210922
2009-02-03,4.8865,-4.7518,1.2564,0.004986,-9.5037,-14.2555,-9.5204,-14.2848,95.740783,83.75726,66.495197,83.539593,66.181473
2009-02-04,4.9207,0.6991,1.253,0.004972,1.3982,2.0973,1.3815,2.068,96.410102,84.928345,67.889791,84.693701,67.550089
2009-02-05,4.8803,-0.8204,1.2497,0.004959,-1.6409,-2.4613,-1.6576,-2.4906,95.619108,83.534761,66.218791,83.289853,65.86767
2009-02-06,4.9999,2.4499,1.2463,0.004946,4.8998,7.3497,4.8831,7.3204,97.961673,87.627784,71.085658,87.357007,70.689461
2009-02-09,5.3989,7.9814,1.2363,0.004906,15.9627,23.9441,15.9461,23.9149,105.780344,101.615556,88.106458,101.287043,87.59477
2009-02-10,5.4315,0.604,1.233,0.004893,1.2079,1.8119,1.1913,1.7828,106.419228,102.843016,89.702874,102.493722,89.15638
2009-02-11,4.8027,-11.578,1.2296,0.004879,-23.1561,-34.7341,-23.1727,-34.7632,94.097972,79.028614,58.545382,78.743204,58.162742
2009-02-12,5.3741,11.8978,1.2263,0.004866,23.7956,35.6934,23.779,35.6643,105.29357,97.833963,79.442237,97.467588,78.906096
2009-02-13,5.1676,-3.8428,1.2229,0.004853,-7.6856,-11.5284,-7.7021,-11.5574,101.247361,90.314859,70.283846,89.960501,69.786575
2009-02-16,5.5169,6.7608,1.2129,0.004813,13.5216,20.2823,13.505,20.2534,108.092474,102.52684,84.539059,102.109707,83.920697
2009-02-17,5.0371,-8.6969,1.2096,0.0048,-17.3937,-26.0906,-17.4102,-26.1195,98.691825,84.693613,62.482333,84.33218,62.000998
2009-02-18,4.6924,-6.8434,1.2062,0.004787,-13.6868,-20.5302,-13.7033,-20.5592,91.937942,73.101756,49.654573,72.775884,49.254115
2009-02-19,5.4688,16.5453,1.2029,0.004773,33.0906,49.636,33.0742,49.6071,107.14937,97.291597,74.301099,96.845898,73.687629
2009-02-20,5.3321,-2.4986,1.1995,0.00476,-4.9971,-7.4957,-5.0136,-7.5246,104.472169,92.429801,68.731706,91.990427,68.142935
2009-02-23,5.0371,-5.5329,1.1895,0.00472,-11.0658,-16.5987,-11.0822,-16.6275,98.691825,82.201698,57.32313,81.795834,56.812458
2009-02-24,5.343,6.0727,1.1862,0.004707,12.1454,18.2181,12.129,18.1893,104.685093,92.185439,67.766331,91.716855,67.146275
2009-02-25,5.0837,-4.8532,1.1828,0.004694,-9.7064,-14.5596,-9.7228,-14.5883,99.604522,83.237562,57.899835,82.799419,57.350751
2009-02-26,5.093,0.1833,1.1795,0.00468,0.3665,0.5498,0.3501,0.5211,99.787057,83.542645,58.218158,83.089327,57.64958
2009-02-27,5.1318,0.7622,1.1761,0.004667,1.5243,2.2865,1.508,2.2578,100.547598,84.816107,59.54931,84.342275,58.951186
2009-03-02,4.9579,-3.3888,1.1661,0.004627,-6.7776,-10.1664,-6.7939,-10.195,97.140244,79.067617,53.495296,78.612123,52.941108
2009-03-03,4.961,0.0627,1.1628,0.004614,0.1253,0.188,0.109,0.1594,97.201105,79.166693,53.595844,78.697798,53.025477
2009-03-04,5.0853,2.5039,1.1594,0.004601,5.0078,7.5117,4.9915,7.4831,99.634929,83.131211,57.621812,82.626002,56.993452
2009-03-05,5.1939,2.1374,1.1561,0.004588,4.2748,6.4122,4.2585,6.3837,101.764533,86.684915,61.316649,86.144646,60.631732
2009-03-06,5.593,7.6831,1.1527,0.004574,15.3662,23.0493,15.3499,23.0208,109.583213,100.005108,75.449724,99.367795,74.58965
2009-03-09,5.1738,-7.4959,1.1427,0.004535,-14.9917,-22.4876,-15.0079,-22.516,101.369017,85.012638,58.482925,84.454731,57.795051
2009-03-10,5.1986,0.4802,1.1394,0.004521,0.9604,1.4406,0.9442,1.4122,101.855782,85.829084,59.325414,85.252114,58.611213
2009-03-11,5.3182,2.2999,1.136,0.004508,4.5998,6.8997,4.5836,6.8713,104.198366,89.777055,63.418694,89.159722,62.638581
