# ASSET=BTC-USD,NAME=bitcoin,LEV2=2x bitcoin,LEV3=3x bitcoin
Date,Asset_Close,NDX_DailyReturn,RF_Annual_Pct,RF_Daily_Pct,NDX2L_DailyReturn,NDX3L_DailyReturn,NDX2L_Adj_DailyReturn,NDX3L_Adj_DailyReturn,NDX_Indexed,NDX2L,NDX3L,NDX2L_adj,NDX3L_adj
2014-09-18,424.44,-7.1926,0.0385,0.000106,-14.3851,-21.5777,-14.3933,-21.5913,92.807442,85.614885,78.422327,85.606697,78.408746
2014-09-19,394.796,-6.9843,0.0385,0.000105,-13.9685,-20.9528,-13.9767,-20.9664,86.325525,73.655745,61.990659,73.641692,61.969275
2014-09-20,408.904,3.5735,0.0384,0.000105,7.147,10.7205,7.1388,10.7069,89.410361,78.919909,68.636352,78.898822,68.60426
2014-09-21,398.821,-2.4659,0.0383,0.000105,-4.9317,-7.3976,-4.9399,-7.4111,87.205631,75.027808,63.558934,75.001302,63.5199
2014-09-22,402.152,0.8352,0.0382,0.000105,1.6704,2.5056,1.6622,2.4921,87.933982,76.281088,65.151486,76.247999,65.102849
2014-09-23,435.791,8.3647,0.0381,0.000104,16.7295,25.0942,16.7213,25.0806,95.289432,89.04252,81.500747,88.997653,81.431064
2014-09-24,423.205,-2.8881,0.0381,0.000104,-5.7762,-8.6642,-5.7843,-8.6778,92.537396,83.899279,74.439323,83.849718,74.364621
2014-09-25,411.574,-2.7483,0.038,0.000104,-5.4966,-8.2449,-5.5048,-8.2585,89.994182,79.287656,68.301855,79.233955,68.223214
2014-09-26,404.425,-1.737,0.0379,0.000104,-3.474,-5.211,-3.4822,-5.2246,88.430988,76.533212,64.742657,76.47489,64.658851
2014-09-27,399.52,-1.2128,0.0378,0.000104,-2.4257,-3.6385,-2.4339,-3.6521,87.358468,74.676772,62.386996,74.613605,62.297461
2014-09-28,377.181,-5.5915,0.0377,0.000103,-11.1829,-16.7744,-11.1911,-16.7879,82.473857,66.325733,51.92197,66.263522,51.838996
2014-09-29,375.467,-0.4544,0.0376,0.000103,-0.9088,-1.3633,-0.917,-1.3768,82.099078,65.722937,51.214137,65.655867,51.125256
