# ASSET=^GSPC,NAME=S&P500,LEV2=2x S&P500,LEV3=3x S&P500
Date,Asset_Close,NDX_DailyReturn,RF_Annual_Pct,RF_Daily_Pct,NDX2L_DailyReturn,NDX3L_DailyReturn,NDX2L_Adj_DailyReturn,NDX3L_Adj_DailyReturn,NDX_Indexed,NDX2L,NDX3L,NDX2L_adj,NDX3L_adj
1928-01-03,17.76,0.5663,11.39,0.045198,1.1325,1.6988,1.0756,1.589,100.566254,101.132507,101.698761,101.075602,101.588999
1928-01-04,17.72,-0.2252,11.39,0.045198,-0.4505,-0.6757,-0.5074,-0.7855,100.339748,100.676945,101.011591,100.56278,100.791065
1928-01-05,17.55,-0.9594,11.39,0.045198,-1.9187,-2.8781,-1.9756,-2.9879,99.37712,98.745219,98.104371,98.57602,97.779562
1928-01-06,17.66,0.6268,11.39,0.045198,1.2536,1.8804,1.1967,1.7706,100.0,99.983058,99.949079,99.755643,99.510837
1928-01-09,17.5,-0.906,11.39,0.045198,-1.812,-2.718,-1.8689,-2.8278,99.093999,98.171362,97.232459,97.891302,96.696904
1928-01-10,17.37,-0.7429,11.39,0.045198,-1.4857,-2.2286,-1.5426,-2.3383,98.357876,96.712826,95.065578,96.381222,94.435822
1928-01-11,17.35,-0.1151,11.39,0.045198,-0.2303,-0.3454,-0.2872,-0.4552,98.244624,96.490108,94.737192,96.104422,94.005956
1928-01-12,17.47,0.6916,11.39,0.045198,1.3833,2.0749,1.3264,1.9651,98.924119,97.82483,96.702903,97.379121,95.853312
1928-01-13,17.58,0.6297,11.39,0.045198,1.2593,1.889,1.2024,1.7792,99.546999,99.056746,98.529585,98.550011,97.558735
1928-01-16,17.29,-1.6496,11.39,0.045198,-3.2992,-4.9488,-3.3561,-5.0586,97.904876,95.788674,93.653564,95.242577,92.623678
1928-01-17,17.3,0.0578,11.39,0.045198,0.1157,0.1735,0.0587,0.0637,97.961491,95.899458,93.816036,95.298532,92.682697
1928-01-18,17.26,-0.2312,11.39,0.045198,-0.4624,-0.6936,-0.5193,-0.8034,97.734996,95.456003,93.165305,94.803626,91.938097
1928-01-19,17.38,0.6952,11.39,0.045198,1.3905,2.0857,1.3336,1.976,98.414492,96.783305,95.108481,96.06791,93.754763
1928-01-20,17.48,0.5754,11.39,0.045198,1.1508,1.7261,1.0938,1.6164,98.980746,97.897041,96.750175,97.118746,95.270184
1928-01-23,17.64,0.9153,11.39,0.045198,1.8307,2.746,1.7738,2.6362,99.886747,99.689205,99.406928,98.841397,97.781726
1928-01-24,17.71,0.3968,11.39,0.045198,0.7936,1.1905,0.7367,1.0807,100.283121,100.480386,100.590339,99.569604,98.838462
1928-01-25,17.52,-1.0728,11.39,0.045198,-2.1457,-3.2185,-2.2026,-3.3283,99.207251,98.324413,97.352842,97.376514,95.548862
1928-01-26,17.63,0.6278,11.39,0.045198,1.2557,1.8835,1.1988,1.7738,99.830121,99.559066,99.186521,98.543852,97.243686
1928-01-27,17.69,0.3403,11.39,0.045198,0.6807,1.021,0.6238,0.9112,100.169879,100.236738,100.199225,99.158538,98.129818
1928-01-30,17.49,-1.1306,11.39,0.045198,-2.2612,-3.3918,-2.3181,-3.5015,99.037372,97.970212,96.800708,96.859965,94.693781
1928-01-31,17.57,0.4574,11.39,0.045198,0.9148,1.3722,0.8579,1.2624,99.490373,98.866451,98.129019,97.69093,95.889242
1928-02-01,17.53,-0.2277,11.39,0.045198,-0.4553,-0.683,-0.5122,-0.7927,99.263878,98.416302,97.458832,97.190542,95.129102
1928-02-02,17.63,0.5704,11.39,0.045198,1.1409,1.7113,1.084,1.6016,99.830121,99.539118,99.12667,98.244067,96.652655
1928-02-03,17.4,-1.3046,11.39,0.045198,-2.6092,-3.9138,-2.6661,-4.0235,98.527745,96.941959,95.247074,95.624794,92.763799
1928-02-06,17.45,0.2874,11.39,0.045198,0.5747,0.8621,0.5178,0.7523,98.810877,97.49911,96.068188,96.119959,93.461686
1928-02-07,17.44,-0.0573,11.39,0.045198,-0.1146,-0.1719,-0.1715,-0.2817,98.754251,97.38736,95.903024,95.955093,93.198418
1928-02-08,17.49,0.2867,11.39,0.045198,0.5734,0.8601,0.5165,0.7503,99.037372,97.945766,96.727866,96.450683,93.897701
1928-02-09,17.55,0.3431,11.39,0.045198,0.6861,1.0292,0.6292,0.9194,99.37712,98.617772,97.723341,97.057546,94.760986
1928-02-10,17.54,-0.057,11.39,0.045198,-0.1139,-0.1709,-0.1708,-0.2807,99.320504,98.505406,97.556321,96.891728,94.495017
1928-02-14,17.44,-0.5701,11.39,0.045198,-1.1403,-1.7104,-1.1972,-1.8201,98.754251,97.382193,95.887734,95.731779,92.775071
1928-02-15,17.4,-0.2294,11.39,0.045198,-0.4587,-0.6881,-0.5156,-0.7979,98.527745,96.935475,95.227941,95.238156,92.034864
1928-02-16,17.35,-0.2874,11.39,0.045198,-0.5747,-0.8621,-0.6316,-0.9718,98.244624,96.378383,94.407023,94.636624,91.140453
1928-02-17,17.04,-1.7867,11.39,0.045198,-3.5735,-5.3602,-3.6304,-5.47,96.489247,92.93432,89.346598,91.20095,86.155086
1928-02-20,16.95,-0.5282,11.39,0.045198,-1.0563,-1.5845,-1.1132,-1.6943,95.97962,91.952618,87.930892,90.18566,84.695385
1928-02-21,17.11,0.944,11.39,0.045198,1.8879,2.8319,1.831,2.7221,96.885622,93.688595,90.420968,91.836958,87.000872
1928-02-23,17.13,0.1169,11.39,0.045198,0.2338,0.3506,0.1769,0.2409,96.998864,93.907606,90.738026,91.999381,87.210444
1928-02-24,17.18,0.2919,11.39,0.045198,0.5838,0.8757,0.5269,0.7659,97.281996,94.455824,91.532598,92.484107,87.878402
1928-02-27,17.11,-0.4074,11.39,0.045198,-0.8149,-1.2223,-0.8718,-1.3321,96.885622,93.686106,90.413753,91.677829,86.707767
1928-02-28,17.16,0.2922,11.39,0.045198,0.5844,0.8767,0.5275,0.7669,97.168743,94.233649,91.20638,92.161466,87.372733
1928-02-29,17.26,0.5828,11.39,0.045198,1.1655,1.7483,1.1086,1.6385,97.734996,95.331947,92.800904,93.183168,88.804332
1928-03-01,17.3,0.2317,11.39,0.045198,0.4635,0.6952,0.4066,0.5855,97.961491,95.773799,93.446085,93.562036,89.324255
1928-03-02,17.3,0.0,11.39,0.045198,0.0,0.0,-0.0569,-0.1098,97.961491,95.773799,93.446085,93.508794,89.226211
1928-03-05,17.57,1.5607,11.39,0.045198,3.1214,4.6821,3.0645,4.5723,99.490373,98.763276,97.821314,96.37436,93.305925
1928-03-06,17.67,0.5692,11.39,0.045198,1.1383,1.7075,1.0814,1.5977,100.056626,99.887506,99.491576,97.416556,94.796674
1928-03-07,17.58,-0.5093,11.39,0.045198,-1.0187,-1.528,-1.0756,-1.6378,99.546999,98.869975,97.971329,96.368761,93.244115
1928-03-08,17.64,0.3413,11.39,0.045198,0.6826,1.0239,0.6257,0.9141,99.886747,99.544849,98.974439,96.971724,94.096478
1928-03-09,17.93,1.644,11.39,0.045198,3.288,4.932,3.2311,4.8222,101.528881,102.817876,103.855847,100.104965,98.634024
1928-03-12,18.0,0.3904,11.39,0.045198,0.7808,1.1712,0.7239,1.0615,101.925256,103.620689,105.072224,100.829631,99.680979
1928-03-13,17.92,-0.4444,11.39,0.045198,-0.8889,-1.3333,-0.9458,-1.4431,101.472255,102.699618,103.671262,99.875991,98.242489
1928-03-14,17.93,0.0558,11.39,0.045198,0.1116,0.1674,0.0547,0.0577,101.528881,102.81424,103.844823,99.930629,98.299128
1928-03-15,18.07,0.7808,11.39,0.045198,1.5616,2.3424,1.5047,2.2327,102.32163,104.41981,106.277318,101.434302,100.493824
1928-03-16,18.26,1.0515,11.39,0.045198,2.1029,3.1544,2.046,3.0446,103.397511,106.615695,109.629739,103.509682,103.553505
1928-03-19,18.36,0.5476,11.39,0.045198,1.0953,1.6429,1.0384,1.5332,103.963764,107.78345,111.430891,104.584516,105.141167
1928-03-20,18.46,0.5447,11.39,0.045198,1.0893,1.634,1.0324,1.5242,104.530007,108.957544,113.25163,105.66425,106.743729
1928-03-21,18.65,1.0293,11.39,0.045198,2.0585,3.0878,2.0016,2.978,105.605888,111.200447,116.748575,107.779232,109.922561
1928-03-22,18.6,-0.2681,11.39,0.045198,-0.5362,-0.8043,-0.5931,-0.914,105.322766,110.604207,115.809593,107.140004,108.917826
1928-03-23,18.78,0.9677,11.39,0.045198,1.9355,2.9032,1.8786,2.7935,106.342021,112.744937,119.171813,109.152718,111.960411
1928-03-26,19.05,1.4377,11.39,0.045198,2.8754,4.3131,2.8185,4.2033,107.870891,115.986787,124.311783,112.229164,116.666459
1928-03-27,18.94,-0.5774,11.39,0.045198,-1.1548,-1.7323,-1.2117,-1.842,107.248022,114.647323,122.158376,110.869231,114.517434
1928-03-28,18.89,-0.264,11.39,0.045198,-0.528,-0.792,-0.5849,-0.9018,106.96489,114.04199,121.19089,110.220757,113.484767
1928-03-29,18.95,0.3176,11.39,0.045198,0.6353,0.9529,0.5784,0.8431,107.304649,114.766466,122.345727,110.858237,114.441608
1928-03-30,19.28,1.7414,11.39,0.045198,3.4828,5.2243,3.4259,5.1145,109.173278,118.763609,128.737402,114.656178,120.294737
1928-04-02,18.91,-1.9191,11.39,0.045198,-3.8382,-5.7573,-3.8951,-5.867,107.078143,114.205244,121.325636,110.190219,113.237001
1928-04-03,19.02,0.5817,11.39,0.045198,1.1634,1.7451,1.1065,1.6354,107.701023,115.533922,123.442912,111.409482,115.08883
