# ASSET=IR0001.TW,NAME=TAIEX TR,LEV2=2x TAIEX TR,LEV3=3x TAIEX TR
Date,Asset_Close,NDX_DailyReturn,RF_Annual_Pct,RF_Daily_Pct,NDX2L_DailyReturn,NDX3L_DailyReturn,NDX2L_Adj_DailyReturn,NDX3L_Adj_DailyReturn,NDX_Indexed,NDX2L,NDX3L,NDX2L_adj,NDX3L_adj
2003-01-03,4626.36,2.2418,1.6051,0.006369,4.4836,6.7254,4.4655,6.6933,102.241808,104.483615,106.725423,104.46554,106.693319
2003-01-06,4690.26,1.3812,1.6001,0.00635,2.7624,4.1436,2.7444,4.1116,103.653987,107.369903,111.147747,107.332465,111.080102
2003-01-07,4701.48,0.2392,1.5985,0.006343,0.4784,0.7177,0.4604,0.6856,103.901947,107.883602,111.945407,107.826612,111.841674
2003-01-08,4837.35,2.8899,1.5968,0.006337,5.7799,8.6698,5.7618,8.6378,106.904652,114.119147,121.650876,114.039408,121.502317
2003-01-09,4814.24,-0.4777,1.5952,0.00633,-0.9555,-1.4332,-0.9735,-1.4652,106.393925,113.028759,119.907348,112.929213,119.722006
2003-01-10,4851.31,0.77,1.5936,0.006324,1.54,2.31,1.522,2.278,107.213166,114.769418,122.677234,114.647979,122.449285
2003-01-13,4991.79,2.8957,1.5886,0.006304,5.7914,8.6871,5.7734,8.6552,110.317751,121.416204,133.334375,121.267082,133.047473
2003-01-14,4992.95,0.0232,1.587,0.006298,0.0465,0.0697,0.0285,0.0378,110.343387,121.472633,133.427328,121.30161,133.097704
2003-01-15,5018.23,0.5063,1.5853,0.006291,1.0126,1.5189,0.9946,1.487,110.902071,122.702699,135.454011,122.508112,135.076859
2003-01-16,4943.81,-1.483,1.5837,0.006285,-2.966,-4.449,-2.984,-4.4809,109.257401,119.063354,129.427691,118.852499,129.024183
2003-01-17,4908.3,-0.7183,1.5821,0.006278,-1.4365,-2.1548,-1.4545,-2.1867,108.472636,117.352957,126.638762,117.123756,126.202763
2003-01-20,4951.56,0.8814,1.5771,0.006258,1.7627,2.6441,1.7448,2.6122,109.428675,119.421571,129.987209,119.167288,129.499445
2003-01-21,4946.39,-0.1044,1.5755,0.006252,-0.2088,-0.3132,-0.2268,-0.3451,109.314419,119.172191,129.580044,118.897039,129.052538
2003-01-22,4993.8,0.9585,1.5738,0.006245,1.917,2.8754,1.899,2.8436,110.362172,121.456666,133.306028,121.154896,132.722243
2003-01-23,5079.34,1.7129,1.5722,0.006239,3.4258,5.1388,3.4079,5.1069,112.252592,125.617587,140.15632,125.283737,139.500274
2003-01-24,5057.86,-0.4229,1.5705,0.006232,-0.8458,-1.2687,-0.8637,-1.3005,111.777888,124.55514,138.378201,124.201639,137.686075
2003-01-27,4973.12,-1.6754,1.5656,0.006213,-3.3508,-5.0262,-3.3687,-5.058,109.905147,120.381516,131.422985,120.017605,130.721876
2003-01-28,5015.69,0.856,1.564,0.006206,1.712,2.568,1.6941,2.5362,110.845938,122.442452,134.797935,122.050812,134.037281
2003-02-06,4834.09,-3.6206,1.5492,0.006148,-7.2413,-10.8619,-7.2591,-10.8936,106.832607,113.576055,120.156298,113.190984,119.435829
2003-02-07,4735.87,-2.0318,1.5475,0.006141,-4.0636,-6.0955,-4.0815,-6.1271,104.661961,108.960734,112.832219,108.571109,112.117868
2003-02-10,4644.36,-1.9323,1.5426,0.006121,-3.8645,-5.7968,-3.8824,-5.8284,102.639605,104.749893,106.291535,104.35597,105.583156
2003-02-11,4619.47,-0.5359,1.541,0.006115,-1.0718,-1.6078,-1.0897,-1.6394,102.08954,103.627144,104.582626,103.218846,103.852277
2003-02-12,4625.36,0.1275,1.5393,0.006108,0.255,0.3825,0.2372,0.3509,102.219708,103.891401,104.982666,103.463673,104.216725
