# ASSET=NVDA,NAME=NVDA,LEV2=2x NVDA,LEV3=3x NVDA
Date,Asset_Close,NDX_DailyReturn,RF_Annual_Pct,RF_Daily_Pct,NDX2L_DailyReturn,NDX3L_DailyReturn,NDX2L_Adj_DailyReturn,NDX3L_Adj_DailyReturn,NDX_Indexed,NDX2L,NDX3L,NDX2L_adj,NDX3L_adj
1999-01-25,0.0415,10.4764,4.7704,0.01893,20.9528,31.4292,20.9222,31.372,110.476397,120.952793,131.42919,120.922157,131.371964
1999-01-26,0.0383,-7.7593,4.77,0.018929,-15.5187,-23.278,-15.5493,-23.3353,101.90415,102.182501,100.835051,102.119574,100.715972
1999-01-27,0.0382,-0.3111,4.7696,0.018927,-0.6221,-0.9332,-0.6528,-0.9904,101.587165,101.546799,99.894073,101.452981,99.718477
1999-01-28,0.038,-0.3144,4.7693,0.018926,-0.6287,-0.9431,-0.6593,-1.0003,101.26782,100.908362,98.952004,100.784057,98.721008
1999-01-29,0.0362,-4.702,4.7689,0.018924,-9.4039,-14.1059,-9.4346,-14.1631,96.506244,91.419014,84.993944,91.275528,84.739051
1999-02-01,0.037,1.9756,4.7677,0.01892,3.9511,5.9267,3.9205,5.8695,98.412775,95.031074,90.031242,94.853964,89.712767
1999-02-02,0.0341,-7.7418,4.7673,0.018918,-15.4836,-23.2253,-15.5142,-23.2825,90.793873,80.316878,69.121176,80.138143,68.825352
1999-02-03,0.0348,2.0972,4.767,0.018917,4.1944,6.2916,4.1638,6.2344,92.697994,83.685674,73.469984,83.474901,73.116181
1999-02-04,0.0367,5.4785,4.7666,0.018915,10.957,16.4356,10.9264,16.3784,97.776475,92.855152,85.545194,92.595724,85.091423
1999-02-05,0.0378,2.9224,4.7662,0.018913,5.8448,8.7672,5.8142,8.71,100.6339,98.282361,93.045128,97.979417,92.502908
1999-02-08,0.0365,-3.4694,4.765,0.018909,-6.9387,-10.4081,-6.9693,-10.4653,97.142545,91.462817,83.360908,91.150897,82.822227
1999-02-09,0.0351,-3.9227,4.7647,0.018907,-7.8455,-11.7682,-7.8761,-11.8254,93.331894,84.287117,73.550809,83.971764,73.028163
1999-02-10,0.0347,-1.0188,4.7643,0.018906,-2.0377,-3.0565,-2.0683,-3.1137,92.380999,82.56963,71.302732,82.234997,70.754306
1999-02-11,0.0377,8.5904,4.7639,0.018904,17.1809,25.7713,17.1503,25.7142,100.316935,96.755822,89.678392,96.338523,88.948176
1999-02-12,0.0398,5.6968,4.7635,0.018903,11.3936,17.0903,11.3629,17.0332,106.031766,107.779746,105.004723,107.285414,104.098859
