# ASSET=^SP500TR,NAME=S&P500 TR,LEV2=2x S&P500 TR,LEV3=3x S&P500 TR
Date,Asset_Close,NDX_DailyReturn,RF_Annual_Pct,RF_Daily_Pct,NDX2L_DailyReturn,NDX3L_DailyReturn,NDX2L_Adj_DailyReturn,NDX3L_Adj_DailyReturn,NDX_Indexed,NDX2L,NDX3L,NDX2L_adj,NDX3L_adj
1988-01-05,258.77,1.0741,5.7922,0.022985,2.1483,3.2224,2.1136,3.1571,101.074135,102.14827,103.222405,102.113579,103.15707
1988-01-06,259.03,0.1005,5.7946,0.022994,0.201,0.3014,0.1663,0.2361,101.175693,102.353545,103.533555,102.28335,103.400607
1988-01-07,261.21,0.8416,5.797,0.023004,1.6832,2.5248,1.6485,2.4594,102.027186,104.076357,106.147566,103.969477,105.943664
1988-01-08,243.55,-6.7608,5.7995,0.023014,-13.5217,-20.2825,-13.5564,-20.3479,95.129292,90.003486,84.618166,89.87496,84.386342
1988-01-11,247.67,1.6916,5.8067,0.023043,3.3833,5.0749,3.3485,5.0095,96.738539,93.04856,88.912477,92.884455,88.613656
1988-01-12,245.6,-0.8358,5.8092,0.023052,-1.6716,-2.5074,-1.7063,-2.5728,95.930012,91.493186,86.683122,91.299539,86.333778
1988-01-13,246.02,0.171,5.8116,0.023062,0.342,0.513,0.3072,0.4475,96.094061,91.806109,87.127829,91.580056,86.720155
1988-01-14,246.09,0.0284,5.814,0.023072,0.0569,0.0853,0.0221,0.0198,96.121399,91.858346,87.202192,91.600315,86.737361
1988-01-15,252.29,2.5194,5.8165,0.023081,5.0388,7.5582,5.004,7.4927,98.543084,96.486909,93.793114,96.184011,93.236313
1988-01-18,252.12,-0.0674,5.8238,0.02311,-0.1348,-0.2021,-0.1696,-0.2677,98.476684,96.356879,93.603515,96.020901,92.98669
1988-01-19,249.57,-1.0114,5.8262,0.02312,-2.0228,-3.0343,-2.0577,-3.0999,97.480673,94.407737,90.763346,94.045115,90.104233
1988-01-20,242.87,-2.6846,5.8286,0.023129,-5.3692,-8.0539,-5.4041,-8.1195,94.863685,89.338754,83.453387,88.962841,82.788228
1988-01-21,243.38,0.21,5.8311,0.023139,0.42,0.63,0.3851,0.5643,95.062892,89.713965,83.979125,89.305473,83.255431
1988-01-22,246.75,1.3847,5.8335,0.023149,2.7693,4.154,2.7345,4.0883,96.379193,92.198438,87.467611,91.747506,86.659187
1988-01-25,252.51,2.3343,5.8408,0.023178,4.6687,7.003,4.6338,6.9373,98.629015,96.502896,93.592997,95.998907,92.671006
1988-01-26,249.95,-1.0138,5.8432,0.023187,-2.0276,-3.0415,-2.0625,-3.1072,97.629094,94.546164,90.746402,94.018896,89.791531
1988-01-27,249.76,-0.076,5.8457,0.023197,-0.152,-0.228,-0.1869,-0.2938,97.554881,94.402424,90.539457,93.843141,89.527717
1988-01-28,253.67,1.5655,5.8481,0.023207,3.131,4.6965,3.0961,4.6307,99.082106,97.358172,94.791654,96.748615,93.673508
1988-01-29,257.47,1.498,5.8505,0.023216,2.996,4.494,2.9611,4.4282,100.566367,100.275043,99.051621,99.613436,97.82159
1988-02-01,255.51,-0.7613,5.8578,0.023245,-1.5225,-2.2838,-1.5575,-2.3496,99.800799,98.748343,96.78951,98.061992,95.52315
