# ASSET=TSLA,NAME=TSLA,LEV2=2x TSLA,LEV3=3x TSLA
Date,Asset_Close,NDX_DailyReturn,RF_Annual_Pct,RF_Daily_Pct,NDX2L_DailyReturn,NDX3L_DailyReturn,NDX2L_Adj_DailyReturn,NDX3L_Adj_DailyReturn,NDX_Indexed,NDX2L,NDX3L,NDX2L_adj,NDX3L_adj
2010-06-30,1.5887,-0.2511,0.145,0.000576,-0.5023,-0.7534,-0.5146,-0.774,99.748852,99.497704,99.246557,99.485422,99.22604
2010-07-01,1.464,-7.8473,0.145,0.000575,-15.6945,-23.5418,-15.7068,-23.5623,91.921287,83.88199,75.88211,83.859417,75.846067
2010-07-02,1.28,-12.5683,0.145,0.000575,-25.1366,-37.7049,-25.1489,-37.7254,80.368337,62.796898,47.27082,62.7697,47.232806
2010-07-06,1.074,-16.0937,0.1449,0.000575,-32.1875,-48.2812,-32.1998,-48.3018,67.434059,42.584149,24.44788,42.557996,24.41853
2010-07-07,1.0533,-1.9243,0.1448,0.000575,-3.8486,-5.7729,-3.8609,-5.7934,66.136427,40.945257,23.03653,40.914884,23.003865
2010-07-08,1.164,10.5064,0.1448,0.000575,21.0127,31.5191,21.0004,31.4986,73.08496,49.548972,30.297434,49.507192,30.249754
2010-07-09,1.16,-0.3436,0.1448,0.000575,-0.6873,-1.0309,-0.6996,-1.0515,72.833805,49.208423,29.985084,49.160851,29.931691
2010-07-12,1.1367,-2.0115,0.1447,0.000574,-4.0229,-6.0344,-4.0352,-6.0549,71.368781,47.228806,28.175669,47.17711,28.119357
2010-07-13,1.2093,6.3929,0.1447,0.000574,12.7858,19.1787,12.7735,19.1582,75.931312,53.267382,33.579392,53.203283,33.506512
2010-07-14,1.3227,9.3716,0.1447,0.000574,18.7432,28.1149,18.731,28.0943,83.047305,63.251413,43.020189,63.168766,42.919945
2010-07-15,1.326,0.252,0.1446,0.000574,0.504,0.756,0.4917,0.7355,83.256575,63.570186,43.345407,63.479365,43.235601
2010-07-16,1.376,3.7707,0.1446,0.000574,7.5415,11.3122,7.5292,11.2917,86.395967,68.364325,48.24874,68.258859,48.117645
2010-07-19,1.4607,6.1531,0.1445,0.000573,12.3062,18.4594,12.294,18.4389,91.712017,76.777406,57.155153,76.650579,56.989988
2010-07-20,1.3533,-7.3483,0.1445,0.000573,-14.6966,-22.0449,-14.7089,-22.0654,84.972754,65.493756,44.555377,65.376156,44.414933
2010-07-21,1.348,-0.3941,0.1445,0.000573,-0.7881,-1.1822,-0.8004,-1.2027,84.63791,64.977586,44.028652,64.852886,43.880758
2010-07-22,1.4,3.8576,0.1444,0.000573,7.7151,11.5727,7.7028,11.5522,87.902869,69.990687,49.123949,69.848401,48.949939
2010-07-23,1.4193,1.3809,0.1444,0.000573,2.7619,4.1428,2.7496,4.1223,89.116745,71.92373,51.159049,71.768938,50.96779
2010-07-26,1.3967,-1.5969,0.1443,0.000573,-3.1939,-4.7908,-3.2062,-4.8113,87.693599,69.626564,48.708102,69.467903,48.515552
2010-07-27,1.37,-1.9093,0.1443,0.000573,-3.8187,-5.728,-3.8309,-5.7485,86.019238,66.967761,45.918105,66.806629,45.726634
2010-07-28,1.3813,0.8272,0.1443,0.000573,1.6545,2.4817,1.6422,2.4612,86.730811,68.075709,47.057644,67.903709,46.852042
2010-07-29,1.3567,-1.7857,0.1442,0.000572,-3.5713,-5.357,-3.5836,-5.3775,85.182091,65.644504,44.536771,65.470308,44.332574
2010-07-30,1.3293,-2.0148,0.1442,0.000572,-4.0296,-6.0444,-4.0419,-6.0649,83.465844,62.999296,41.844794,62.824081,41.643847
2010-08-02,1.3947,4.9148,0.1441,0.000572,9.8296,14.7444,9.8173,14.7239,87.568025,69.191878,48.01456,68.991725,47.775444
2010-08-03,1.4633,4.9235,0.1441,0.000572,9.8469,14.7704,9.8347,14.7499,91.879409,76.005157,55.106504,75.776825,54.822272
2010-08-04,1.4173,-3.1435,0.1441,0.000572,-6.287,-9.4305,-6.2993,-9.451,88.991172,71.226699,49.909671,71.003419,49.640999
2010-08-05,1.3633,-3.81,0.1441,0.000572,-7.6199,-11.4299,-7.6322,-11.4504,85.600631,65.799262,44.205034,65.584277,43.956891
2010-08-06,1.306,-4.2054,0.144,0.000572,-8.4107,-12.6161,-8.423,-12.6366,82.00082,60.265077,38.628098,60.060121,38.402246
2010-08-09,1.3067,0.0511,0.1439,0.000571,0.1021,0.1532,0.0899,0.1327,82.042698,60.326632,38.687281,60.114093,38.453207
2010-08-10,1.2687,-2.9082,0.1439,0.000571,-5.8163,-8.7245,-5.8286,-8.745,79.656764,56.81784,35.312015,56.610283,35.090477
2010-08-11,1.1933,-5.938,0.1439,0.000571,-11.8761,-17.8141,-11.8884,-17.8346,74.926714,50.070108,29.02149,49.88025,28.832222
2010-08-12,1.1733,-1.676,0.1439,0.000571,-3.352,-5.0279,-3.3642,-5.0484,73.67096,48.391781,27.56231,48.202164,27.376645
