# ASSET=VT,NAME=VT,LEV2=2x VT,LEV3=3x VT
Date,Asset_Close,NDX_DailyReturn,RF_Annual_Pct,RF_Daily_Pct,NDX2L_DailyReturn,NDX3L_DailyReturn,NDX2L_Adj_DailyReturn,NDX3L_Adj_DailyReturn,NDX_Indexed,NDX2L,NDX3L,NDX2L_adj,NDX3L_adj
2008-06-27,33.9418,-0.1613,2.8977,0.011499,-0.3227,-0.484,-0.3459,-0.5264,99.838656,99.677312,99.515968,99.654107,99.473606
2008-06-30,33.9692,0.0808,2.8732,0.011401,0.1615,0.2423,0.1384,0.2002,99.9193,99.838339,99.757118,99.792069,99.672707
2008-07-01,33.6675,-0.8881,2.865,0.011369,-1.7763,-2.6644,-1.7993,-2.7065,99.031891,98.06496,97.099213,97.996484,96.975086
2008-07-02,33.1738,-1.4664,2.8568,0.011337,-2.9328,-4.3992,-2.9558,-4.4412,97.579695,95.188925,92.827646,95.099876,92.668212
2008-07-03,33.263,0.2687,2.8487,0.011304,0.5374,0.8061,0.5144,0.7641,97.84188,95.700448,93.575897,95.589038,93.376282
2008-07-07,33.1944,-0.2061,2.816,0.011175,-0.4123,-0.6184,-0.4352,-0.6601,97.640186,95.305889,92.997197,95.173066,92.759866
2008-07-08,33.2561,0.1859,2.8078,0.011142,0.3718,0.5577,0.349,0.5161,97.821705,95.660248,93.515859,95.505186,93.23857
2008-07-09,32.8721,-1.1546,2.7996,0.01111,-2.3093,-3.4639,-2.3321,-3.5055,96.69223,93.451212,90.276584,93.27794,89.970127
2008-07-10,32.8173,-0.1669,2.7915,0.011077,-0.3337,-0.5006,-0.3565,-0.5421,96.530898,93.139362,89.8247,92.945416,89.482421
2008-07-11,32.6733,-0.4388,2.7833,0.011045,-0.8776,-1.3164,-0.9003,-1.3578,96.107323,92.321977,88.642257,92.108587,88.26739
2008-07-14,32.5636,-0.3358,2.7588,0.010948,-0.6716,-1.0074,-0.6942,-1.0486,95.784602,91.701956,87.749294,91.469133,87.341783
2008-07-15,32.063,-1.5372,2.7506,0.010915,-3.0744,-4.6116,-3.097,-4.6528,94.312197,88.882663,83.702635,88.636306,83.277937
2008-07-16,32.7213,2.0531,2.7425,0.010883,4.1062,6.1593,4.0836,6.1182,96.248515,92.532352,88.858117,92.255857,88.373008
2008-07-17,33.1395,1.2783,2.7343,0.01085,2.5566,3.8348,2.534,3.7938,97.478842,94.898001,92.265689,94.593627,91.725685
